cuisine,month,order_count,total_revenue,avg_revenue
Chinese,2026-01,16,24583,1536.4375
Chinese,2026-02,16,20381,1273.8125
Chinese,2026-03,16,20273,1267.0625
Chinese,2026-04,15,18695,1246.333333
Chinese,2026-05,10,14677,1467.7
Chinese,2026-06,18,29231,1623.944444
Desserts,2026-01,3,5706,1902
Desserts,2026-02,3,3953,1317.666667
Desserts,2026-03,2,2809,1404.5
Desserts,2026-05,4,5633,1408.25
Desserts,2026-06,1,1593,1593
Fast Food,2026-01,10,10499,1049.9
Fast Food,2026-02,5,6277,1255.4
Fast Food,2026-03,9,10495,1166.111111
Fast Food,2026-04,8,14644,1830.5
Fast Food,2026-05,6,8546,1424.333333
Fast Food,2026-06,4,4662,1165.5
Italian,2026-01,1,1716,1716
Italian,2026-02,1,1142,1142
Italian,2026-04,5,4510,902
Italian,2026-05,1,1455,1455
Italian,2026-06,3,5912,1970.666667
North Indian,2026-01,25,37468,1498.72
North Indian,2026-02,26,38819,1493.038462
North Indian,2026-03,25,25803,1032.12
North Indian,2026-04,27,39368,1458.074074
North Indian,2026-05,24,33707,1404.458333
North Indian,2026-06,27,41132,1523.407407
South Indian,2026-01,3,3339,1113
South Indian,2026-02,9,11754,1306
South Indian,2026-03,10,14818,1481.8
South Indian,2026-04,8,10542,1317.75
South Indian,2026-05,7,10130,1447.142857
South Indian,2026-06,10,12834,1283.4
